fecha,fallecidos totales,Cementerio Municipal,Campo Santo Santa Ana,"0 - 12 años
CM","12 - 18 años
CM","18 - 40 años
CM","40 - 65 años
CM","65 años en adelante
CM","confirmado COVID
CM","sospecha COVID
CM","NO COVID
CM","Hombres
CSSA","Mujeres
CSSA","0 - 12 años
CSSA","12 - 18 años
CSSA","18 - 40 años
CSSA","40 - 65 años
CSSA","65 años en adelante
CSSA","confirmado COVID
CSSA","sospecha COVID
CSSA","NO COVID
CSSA",0 - 12 años,12 - 18 años,18 - 40 años,40 - 65 años,65 años en adelante,confirmado COVID,sospecha COVID,NO COVID
8/5/20,6,1,5,,,,1,,1,,,1,4,,,,1,4,1,1,3,0,0,0,2,4,2,1,3
9/5/20,3,2,1,,,,,2,,,2,,1,,,,1,,,1,,0,0,0,1,2,0,1,2
10/5/20,5,3,2,,,,1,2,,1,2,2,,,,,,2,,2,,0,0,0,1,4,0,3,2
11/5/20,3,2,1,,,,,2,,,2,,1,,,,,,,,1,0,0,0,0,2,0,0,3
12/5/20,2,,2,,,,,,,,,2,,,,,1,1,,1,1,0,0,0,1,1,0,1,1
13/5/20,5,2,3,,,,1,1,,,2,2,1,,,,,2,1,,2,0,0,0,1,3,1,0,4
14/5/20,5,2,3,1,,,,1,,1,1,3,,,,1,1,1,1,1,1,1,0,1,1,2,1,2,2
15/5/20,5,2,3,,,,1,1,,1,1,1,2,,,,,3,,1,2,0,0,0,1,4,0,2,3
16/5/20,2,,2,,,,,,,,,1,1,,,,1,1,,1,1,0,0,0,1,1,0,1,1
17/5/20,6,2,4,1,,,,1,1,,1,3,1,,,,3,1,1,1,2,1,0,0,3,2,2,1,3
18/5/20,3,1,2,,,,,1,,1,,1,1,,,,2,,1,1,,0,0,0,2,1,1,2,0
19/5/20,7,3,4,,,,,3,2,,1,4,,,,,1,3,,3,1,0,0,0,1,6,2,3,2
20/5/20,6,2,4,,,1,,1,,,2,2,2,,,1,1,2,,1,3,0,0,2,1,3,0,1,5
21/5/20,0,,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
22/5/20,9,5,4,,,,,5,,,5,2,2,1,,,1,2,,,4,1,0,0,1,7,0,0,9
23/5/20,7,4,3,,,,,4,2,,2,2,1,,,,1,2,1,,2,0,0,0,1,6,3,0,4
24/5/20,5,2,3,,,,,2,,,2,2,1,,,,2,1,1,1,1,0,0,0,2,3,1,1,3
25/5/20,6,5,1,,,2,1,2,1,1,3,,1,,,,,1,,,1,0,0,2,1,3,1,1,4
26/5/20,7,2,5,,,,1,1,,,2,1,4,,,,1,4,,2,3,0,0,0,2,5,0,2,5
27/5/20,8,5,3,,,2,,3,1,1,3,1,2,,,1,2,,1,1,1,0,0,3,2,3,2,2,4
28/5/20,8,5,3,,,,,5,2,,3,,3,,,,,3,2,,1,0,0,0,0,8,4,0,4
29/5/20,8,5,3,,,,1,4,1,1,3,3,,,,,1,2,2,1,,0,0,0,2,6,3,2,3
30/5/20,4,3,1,,,1,1,1,,,3,1,,,,,1,,1,,,0,0,1,2,1,1,0,3
31/5/20,9,3,6,,,,,3,,,3,4,2,,,,2,4,2,1,3,0,0,0,2,7,2,1,6
1/6/20,8,4,4,,,1,,3,1,,3,2,2,,,,1,3,1,,3,0,0,1,1,6,2,0,6
2/6/20,7,4,3,,,,,4,,,4,1,2,,,,2,1,1,,2,0,0,0,2,5,1,0,6
3/6/20,7,5,2,,,1,1,3,1,1,3,1,1,,,,,2,,,2,0,0,1,1,5,1,1,5
4/6/20,9,5,4,1,,2,1,1,,1,4,2,2,,,,1,3,1,2,1,1,0,2,2,4,1,3,5
5/6/20,8,3,5,,,,1,2,2,,1,3,2,,,,,5,1,2,2,0,0,0,1,7,3,2,3
