"BehaviorSpace results (NetLogo 6.1.1)"
"epiDEM COV_v1.3_subdeteccion.nlogo"
"experiment deteccion 10 80"
"03/15/2020 22:48:21:343 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-25","25"
,"28","30","3","4","32","32","2","1","79","46","4","4"
,"28","30","3","4","30","36","2","1","76","46","5","4"
,"27","32","3","4","30","35","2","1","74","45","5","4"
,"27","32","3","4","30","37","2","1","72","42","5","4"
,"26","33","3","4","31","36","2","1","68","43","5","4"
,"29","34","3","4","31","36","2","1","66","45","5","4"
,"28","32","3","4","29","35","2","1","68","41","5","4"
,"29","33","3","4","28","35","2","1","65","39","5","4"
,"29","33","4","4","28","36","3","1","66","40","6","4"
,"30","30","4","4","29","38","3","1","67","39","6","4"
,"31","31","4","4","29","38","3","1","67","39","6","4"
,"33","30","4","4","29","40","3","1","64","38","6","4"
,"33","32","4","4","32","43","3","1","58","36","7","4"
,"32","33","4","4","31","43","3","1","56","34","7","4"
,"33","33","4","4","33","43","3","1","55","32","7","4"
,"32","33","5","4","32","42","3","1","58","31","7","4"
,"33","33","5","5","31","48","3","1","56","29","7","4"
,"33","32","6","5","31","48","3","1","56","29","7","4"
,"33","32","6","5","31","48","3","1","56","29","7","4"
,"36","32","6","5","31","50","4","1","55","27","7","4"
,"34","33","6","5","32","50","4","1","54","26","7","4"
,"33","36","6","5","34","49","4","1","53","26","7","4"
,"33","37","6","5","34","52","4","1","54","21","7","4"
,"33","39","7","5","33","56","4","1","54","19","7","4"
,"31","40","7","5","32","57","4","1","54","18","7","4"
,"30","37","7","5","29","55","4","1","51","18","7","4"
,"30","38","7","5","27","50","4","1","53","17","7","4"
,"30","38","7","5","28","48","4","1","53","15","7","4"
,"29","36","7","5","28","48","4","1","51","14","7","4"
,"28","36","7","5","28","49","4","1","51","15","7","4"
,"27","35","7","5","28","51","4","1","48","13","7","4"
,"29","33","7","5","27","51","4","1","47","11","7","4"
,"27","33","7","5","29","49","4","1","44","11","8","4"
,"24","31","7","5","29","47","4","1","42","11","9","4"
,"23","31","7","5","30","46","4","1","42","11","9","4"
,"21","28","7","5","29","46","5","1","39","11","9","4"
,"21","29","7","5","30","47","5","1","39","12","9","4"
,"21","26","7","5","30","44","5","1","38","12","9","4"
,"21","26","7","5","29","46","5","1","36","10","9","4"
,"19","25","7","5","28","45","5","1","34","9","9","4"
,"18","26","7","5","27","41","5","2","31","9","9","4"
,"18","25","7","5","25","41","5","2","27","9","9","4"
,"18","25","7","5","26","41","5","2","28","7","9","4"
,"19","24","7","5","25","38","5","2","27","7","9","4"
,"19","24","7","5","23","35","5","2","28","7","9","4"
,"18","23","7","5","23","36","5","2","25","7","9","4"
,"15","22","7","5","21","36","5","2","23","6","9","4"
,"14","22","7","5","23","35","5","2","22","6","9","4"
,"14","23","7","5","20","30","5","2","19","6","9","4"
,"13","25","7","5","17","29","5","2","18","4","9","4"
,"13","25","7","5","16","28","5","2","18","4","9","4"
,"14","25","7","5","17","27","5","2","17","4","9","4"
,"14","26","7","5","19","27","5","2","16","3","9","4"
,"15","27","7","5","19","26","5","2","15","3","9","4"
,"17","27","7","5","20","27","5","2","15","3","9","4"
,"18","28","7","5","22","28","5","2","13","2","9","4"
,"17","29","7","5","19","27","5","3","14","2","9","4"
,"20","26","7","5","20","26","5","3","13","2","9","4"
,"20","25","8","5","20","25","5","3","12","2","9","4"
,"20","25","8","5","21","26","5","3","11","2","9","4"
,"19","24","8","5","19","25","5","3","11","2","9","4"
,"20","24","8","5","19","23","5","3","11","2","9","4"
,"19","27","8","5","19","20","5","3","10","2","9","4"
,"18","25","8","5","17","21","5","3","10","2","9","4"
,"19","24","8","6","16","22","5","3","8","2","9","4"
,"20","23","8","6","14","23","5","3","8","2","9","4"
,"20","22","8","6","14","25","5","3","7","2","9","4"
,"21","21","8","6","14","27","5","3","6","2","10","4"
,"23","20","8","6","14","29","5","3","5","2","10","4"
,"23","21","8","6","15","30","5","3","4","2","10","4"
,"20","23","8","6","15","30","5","3","4","2","10","4"
,"20","25","9","6","17","32","5","3","5","2","10","4"
,"21","24","9","6","18","32","5","3","5","2","10","4"
,"22","24","9","6","20","32","5","3","5","1","10","4"
,"23","23","9","6","20","31","5","4","5","1","10","4"
,"23","22","9","6","20","31","5","4","5","1","10","4"
,"22","23","9","6","20","31","5","4","5","1","10","4"
,"22","23","9","6","19","32","5","4","5","1","10","4"
,"21","21","9","6","19","35","5","4","5","1","10","4"
,"22","20","9","6","19","34","5","4","6","1","10","4"
,"23","21","9","6","17","35","6","4","6","1","10","4"
,"21","19","9","6","17","37","6","4","5","1","10","4"
,"20","19","9","6","19","37","6","4","5","1","10","4"
,"19","20","9","6","20","39","6","4","5","1","10","4"
,"18","21","9","6","20","39","6","4","4","0","10","4"
,"17","23","9","6","19","39","6","4","4","0","10","4"
,"18","21","9","6","19","38","6","4","4","0","10","4"
,"17","21","9","6","22","35","6","4","4","0","10","4"
,"18","21","9","6","21","36","6","4","4","0","10","4"
,"18","20","9","6","21","33","6","4","3","0","10","4"
,"18","19","9","6","18","33","6","5","3","0","10","4"
,"17","19","9","6","19","31","6","5","2","0","10","4"
,"15","19","9","6","20","31","6","5","2","0","10","4"
,"15","18","9","6","23","29","6","6","2","0","10","4"
,"15","19","9","6","23","29","6","6","2","0","10","4"
,"15","17","9","6","23","28","6","6","2","0","10","4"
,"14","17","9","6","22","27","7","6","2","0","10","4"
